日期,城市,花粉等级,等级描述,颜色代码,城市ID,城市代码
2025-03-22,温州,偏高,花粉浓度偏高，敏感人群可能出现明显症状,#F5EE32,10,CN10
2025-03-22,银川,偏高,花粉浓度偏高，敏感人群可能出现明显症状,#F5EE32,49,CN49
2025-03-22,合肥,高,花粉浓度高，大多数花粉过敏者会出现症状,#FFAF13,23,CN23
2025-03-22,南京,中,花粉浓度中等，敏感人群可能出现症状,#F5EE32,50,CN50
2025-03-22,青岛,高,花粉浓度高，大多数花粉过敏者会出现症状,#FFAF13,87,CN87
2025-03-22,广州,中,花粉浓度中等，敏感人群可能出现症状,#F5EE32,10,CN10
2025-03-22,延安,较高,花粉浓度较高，几乎所有花粉过敏者都会有症状,#FFAF13,03,CN03
2025-03-22,天津,低,花粉浓度低，仅对极敏感人群有影响,#A1FF3D,51,CN51
2025-03-22,长春,较低,花粉浓度较低，可能对敏感人群有轻微影响,#A1FF3D,19,CN19
2025-03-22,呼和浩特,偏高,花粉浓度偏高，敏感人群可能出现明显症状,#F5EE32,8495,CN8495
2025-03-22,扬州,高,花粉浓度高，大多数花粉过敏者会出现症状,#FFAF13,60,CN60
2025-03-22,佛山,较低,花粉浓度较低，可能对敏感人群有轻微影响,#A1FF3D,55,CN55
2025-03-22,深圳,中,花粉浓度中等，敏感人群可能出现症状,#F5EE32,53,CN53
2025-03-22,石家庄,低,花粉浓度低，仅对极敏感人群有影响,#A1FF3D,786,CN786
2025-03-22,拉萨,中,花粉浓度中等，敏感人群可能出现症状,#F5EE32,92,CN92
2025-03-22,常州,高,花粉浓度高，大多数花粉过敏者会出现症状,#FFAF13,00,CN00
2025-03-22,承德,较高,花粉浓度较高，几乎所有花粉过敏者都会有症状,#FFAF13,53,CN53
2025-03-22,北京,很高,花粉浓度很高，过敏症状可能加剧,#FF2319,1,CN1
2025-03-22,天津,中,花粉浓度中等，可能导致轻微过敏反应,#FFE91F,3,CN3
2025-03-22,呼和浩特,高,花粉浓度高，可能导致显著过敏反应,#FF642E,10,CN10
2025-03-22,绍兴,高,花粉浓度高，可能导致显著过敏反应,#FF642E,25,CN25
2025-03-22,延安,低,花粉浓度低，仅对极敏感人群有影响,#A1FF3D,60,CN60
2025-03-22,北京,很高,花粉浓度很高，过敏症状可能加剧,#FF2319,1,CN1
