日期,城市,花粉等级,等级描述,颜色代码
2025-03-21,广州,高,易引发过敏，加强防护，规范用药。,#FFAF13
2025-03-21,长沙,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319
2025-03-21,长春,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D
2025-03-20,北京,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319
2025-03-20,沈阳,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319
2025-03-20,承德,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D
2025-03-20,青岛,很低,不易引发过敏反应。,#81CB31
2025-03-20,杭州,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319
2025-03-20,绍兴,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319
2025-03-20,嘉兴,高,易引发过敏，加强防护，规范用药。,#FFAF13
2025-03-20,苏州,中,易引发过敏，加强防护，对症用药。,#F5EE32
2025-03-20,济南,中,易引发过敏，加强防护，对症用药。,#F5EE32
2025-03-20,拉萨,很低,不易引发过敏反应。,#81CB31
2025-03-20,台州,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319
2025-03-20,东莞,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319
2025-03-20,广州,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319
2025-03-20,长沙,很低,不易引发过敏反应。,#81CB31
2025-03-20,长春,偏高,易引发过敏，加强防护，对症用药。,#F5EE32
2025-03-19,北京,中,易引发过敏，加强防护，对症用药。,#F5EE32
2025-03-19,沈阳,很低,不易引发过敏反应。,#81CB31
2025-03-19,承德,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319
2025-03-19,青岛,中,易引发过敏，加强防护，对症用药。,#F5EE32
2025-03-19,杭州,很低,不易引发过敏反应。,#81CB31
2025-03-19,绍兴,偏高,易引发过敏，加强防护，对症用药。,#F5EE32
2025-03-19,嘉兴,高,易引发过敏，加强防护，规范用药。,#FFAF13
2025-03-19,苏州,高,易引发过敏，加强防护，规范用药。,#FFAF13
2025-03-19,济南,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D
2025-03-19,拉萨,偏高,易引发过敏，加强防护，对症用药。,#F5EE32
2025-03-19,台州,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D
2025-03-19,东莞,偏高,易引发过敏，加强防护，对症用药。,#F5EE32
2025-03-19,广州,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319
2025-03-19,长沙,很低,不易引发过敏反应。,#81CB31
2025-03-19,长春,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D
2025-03-18,北京,高,易引发过敏，加强防护，规范用药。,#FFAF13
2025-03-18,沈阳,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319
2025-03-18,承德,高,易引发过敏，加强防护，规范用药。,#FFAF13
2025-03-18,青岛,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319
2025-03-18,杭州,偏高,易引发过敏，加强防护，对症用药。,#F5EE32
2025-03-18,绍兴,偏高,易引发过敏，加强防护，对症用药。,#F5EE32
2025-03-18,嘉兴,中,易引发过敏，加强防护，对症用药。,#F5EE32
2025-03-18,苏州,偏高,易引发过敏，加强防护，对症用药。,#F5EE32
2025-03-18,济南,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D
2025-03-18,拉萨,很低,不易引发过敏反应。,#81CB31
2025-03-18,台州,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319
2025-03-18,东莞,偏高,易引发过敏，加强防护，对症用药。,#F5EE32
2025-03-18,广州,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D
2025-03-18,长沙,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D
2025-03-18,长春,偏高,易引发过敏，加强防护，对症用药。,#F5EE32
