日期,城市,花粉等级,等级描述,颜色代码,城市ID,城市代码
2025-03-18,温州,偏高,易引发过敏，加强防护，对症用药。,#F5EE32,10100004,温州city
2025-03-18,惠州,中,易引发过敏，加强防护，对症用药。,#F5EE32,10100005,惠州city
2025-03-18,嘉兴,高,易引发过敏，加强防护，规范用药。,#FFAF13,10100006,嘉兴city
2025-03-18,淄博,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D,10100007,淄博city
2025-03-18,沧州,很低,不易引发过敏反应。,#81CB31,10100008,沧州city
2025-03-18,海口,偏高,易引发过敏，加强防护，对症用药。,#F5EE32,10100009,海口city
2025-03-18,西安,中,易引发过敏，加强防护，对症用药。,#F5EE32,10100010,西安city
2025-03-18,呼和浩特,中,易引发过敏，加强防护，对症用药。,#F5EE32,10100011,呼和浩特
2025-03-18,无锡,很低,不易引发过敏反应。,#81CB31,10100012,无锡city
2025-03-18,延安,中,易引发过敏，加强防护，对症用药。,#F5EE32,10100013,延安city
2025-03-18,杭州,中,易引发过敏，加强防护，对症用药。,#F5EE32,10100014,杭州city
2025-03-18,哈尔滨,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D,10100015,哈尔滨
2025-03-19,上海,中,易引发过敏，加强防护，对症用药。,#F5EE32,10100001,上海city
2025-03-19,榆林,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D,10100002,榆林city
2025-03-19,武汉,偏高,易引发过敏，加强防护，对症用药。,#F5EE32,10100003,武汉city
2025-03-19,温州,暂无,,#C4A39F,10100004,温州city
2025-03-19,惠州,中,易引发过敏，加强防护，对症用药。,#F5EE32,10100005,惠州city
2025-03-19,嘉兴,暂无,,#C4A39F,10100006,嘉兴city
2025-03-19,淄博,暂无,,#C4A39F,10100007,淄博city
2025-03-19,沧州,很低,不易引发过敏反应。,#81CB31,10100008,沧州city
2025-03-19,海口,偏高,易引发过敏，加强防护，对症用药。,#F5EE32,10100009,海口city
2025-03-19,西安,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319,10100010,西安city
2025-03-19,呼和浩特,中,易引发过敏，加强防护，对症用药。,#F5EE32,10100011,呼和浩特
2025-03-19,无锡,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319,10100012,无锡city
2025-03-19,延安,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319,10100013,延安city
2025-03-19,杭州,中,易引发过敏，加强防护，对症用药。,#F5EE32,10100014,杭州city
2025-03-19,哈尔滨,暂无,,#C4A39F,10100015,哈尔滨
2025-03-20,上海,暂无,,#C4A39F,10100001,上海city
2025-03-20,榆林,偏高,易引发过敏，加强防护，对症用药。,#F5EE32,10100002,榆林city
2025-03-20,武汉,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319,10100003,武汉city
2025-03-20,温州,很低,不易引发过敏反应。,#81CB31,10100004,温州city
2025-03-20,惠州,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D,10100005,惠州city
2025-03-20,嘉兴,很低,不易引发过敏反应。,#81CB31,10100006,嘉兴city
2025-03-20,淄博,暂无,,#C4A39F,10100007,淄博city
2025-03-20,沧州,暂无,,#C4A39F,10100008,沧州city
2025-03-20,海口,高,易引发过敏，加强防护，规范用药。,#FFAF13,10100009,海口city
2025-03-20,西安,偏高,易引发过敏，加强防护，对症用药。,#F5EE32,10100010,西安city
2025-03-20,呼和浩特,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D,10100011,呼和浩特
2025-03-20,无锡,偏高,易引发过敏，加强防护，对症用药。,#F5EE32,10100012,无锡city
2025-03-20,延安,中,易引发过敏，加强防护，对症用药。,#F5EE32,10100013,延安city
2025-03-20,杭州,偏高,易引发过敏，加强防护，对症用药。,#F5EE32,10100014,杭州city
2025-03-20,哈尔滨,暂无,,#C4A39F,10100015,哈尔滨
2025-03-21,上海,暂无,,#C4A39F,10100001,上海city
2025-03-21,榆林,中,易引发过敏，加强防护，对症用药。,#F5EE32,10100002,榆林city
2025-03-21,武汉,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D,10100003,武汉city
2025-03-21,温州,高,易引发过敏，加强防护，规范用药。,#FFAF13,10100004,温州city
2025-03-21,惠州,高,易引发过敏，加强防护，规范用药。,#FFAF13,10100005,惠州city
2025-03-21,嘉兴,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319,10100006,嘉兴city
2025-03-21,淄博,中,易引发过敏，加强防护，对症用药。,#F5EE32,10100007,淄博city
2025-03-21,沧州,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319,10100008,沧州city
2025-03-21,海口,偏高,易引发过敏，加强防护，对症用药。,#F5EE32,10100009,海口city
2025-03-21,西安,很低,不易引发过敏反应。,#81CB31,10100010,西安city
2025-03-21,呼和浩特,很低,不易引发过敏反应。,#81CB31,10100011,呼和浩特
2025-03-21,无锡,很低,不易引发过敏反应。,#81CB31,10100012,无锡city
2025-03-21,延安,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319,10100013,延安city
2025-03-21,杭州,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319,10100014,杭州city
2025-03-21,哈尔滨,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D,10100015,哈尔滨
2025-03-22,上海,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319,10100001,上海city
2025-03-22,榆林,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D,10100002,榆林city
2025-03-22,武汉,很低,不易引发过敏反应。,#81CB31,10100003,武汉city
2025-03-22,温州,暂无,,#C4A39F,10100004,温州city
2025-03-22,惠州,偏高,易引发过敏，加强防护，对症用药。,#F5EE32,10100005,惠州city
2025-03-22,嘉兴,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319,10100006,嘉兴city
2025-03-22,淄博,高,易引发过敏，加强防护，规范用药。,#FFAF13,10100007,淄博city
2025-03-22,沧州,暂无,,#C4A39F,10100008,沧州city
2025-03-22,海口,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319,10100009,海口city
2025-03-22,西安,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319,10100010,西安city
2025-03-22,呼和浩特,偏高,易引发过敏，加强防护，对症用药。,#F5EE32,10100011,呼和浩特
2025-03-22,无锡,中,易引发过敏，加强防护，对症用药。,#F5EE32,10100012,无锡city
2025-03-22,延安,高,易引发过敏，加强防护，规范用药。,#FFAF13,10100013,延安city
2025-03-22,杭州,偏高,易引发过敏，加强防护，对症用药。,#F5EE32,10100014,杭州city
2025-03-22,哈尔滨,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D,10100015,哈尔滨
